,Tronco_Curvado_horas,Tronco_Torcido_horas,Maos_Dedos_horas,Movimentos_repetitivos_horas,Movimentos_Rapidos_horas
Tronco_Curvado_horas,1.0,0.5090407356867843,0.30232798337207684,0.2590858236075854,0.2543619822237163
Tronco_Torcido_horas,0.5090407356867843,1.0,0.24079501679981227,0.32380598961563234,0.3382064754040511
Maos_Dedos_horas,0.30232798337207684,0.24079501679981227,1.0,0.5579874484510962,0.3631711557744262
Movimentos_repetitivos_horas,0.2590858236075854,0.32380598961563234,0.5579874484510962,1.0,0.5877907492657489
Movimentos_Rapidos_horas,0.2543619822237163,0.3382064754040511,0.3631711557744262,0.5877907492657489,1.0
